id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords,_link-dfkv,_iiif-link,_journal-name
ILLU_13066_226_0,,,,,,1351,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13066,https://digi.ub.uni-heidelberg.de/diglit/dkd1911/240,Deutsche Kunst und Dekoration
ILLU_11552_353_0,,,,,,1438,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11552,https://digi.ub.uni-heidelberg.de/diglit/kk1925/368,Kunst und Künstler
ILLU_15739_39_0,,,,,,1400,,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15739,https://gallica.bnf.fr/ark:/12148/bpt6k6102051c/canvas/f39,Formes. Revue internationale des arts plastiques (1929-1934)
ILLU_10556_278_0,,,,,,1368,,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10556,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/303,Die Kunst für Alle
ILLU_14594_370_0,,,,,,1476,,1880,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14594,https://gallica.bnf.fr/ark:/12148/bpt6k10557542/f370,L'Art
ILLU_13288_129_0,,,,,,1351,,1920,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13288,https://digi.ub.uni-heidelberg.de/diglit/dkd1920_1921/146,Deutsche Kunst und Dekoration
ILLU_10640_59_0,,,,,,1368,,1909,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10640,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/75,Die Kunst für Alle
ILLU_11366_137_0,,,,,,1336,,1926,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11366,https://digi.ub.uni-heidelberg.de/diglit/cicerone1926/153,Der Cicerone
ILLU_14982_415_0,,,,,,1473,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14982,https://gallica.bnf.fr/ark:/12148/bpt6k42262130/canvas/f415,L'Amour de l'art
ILLU_13340_162_2,,,,,,1351,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13340,https://digi.ub.uni-heidelberg.de/diglit/dkd1927_1928/172,Deutsche Kunst und Dekoration
ILLU_10655_623_0,,,,,,1438,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10655,https://digi.ub.uni-heidelberg.de/diglit/kk1911/587,Kunst und Künstler
ILLU_10759_415_0,,,,,,1368,,1906,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10759,https://digi.ub.uni-heidelberg.de/diglit/kfa1905_1906/450,Die Kunst für Alle
ILLU_14981_391_0,,,,,,1473,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14981,https://gallica.bnf.fr/ark:/12148/bpt6k42262130/canvas/f391,L'Amour de l'art
ILLU_15691_119_2,,,,,,1479,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15691,https://gallica.bnf.fr/ark:/12148/bpt6k6100854r/f119,L'Art et les artistes
ILLU_13260_599_0,,,,,,1351,,1904,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13260,https://digi.ub.uni-heidelberg.de/diglit/dkd1904/248,Deutsche Kunst und Dekoration
ILLU_10479_240_0,,,,,,1438,,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10479,https://digi.ub.uni-heidelberg.de/diglit/kk1910/252,Kunst und Künstler
ILLU_12639_722_1,,,,,,1336,,1922,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12639,https://digi.ub.uni-heidelberg.de/diglit/cicerone1922/744,Der Cicerone
ILLU_10954_621_0,,,,,,1438,,1916,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10954,https://digi.ub.uni-heidelberg.de/diglit/kk1916/654,Kunst und Künstler
ILLU_11399_612_0,,,,,,1336,,1923,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11399,https://digi.ub.uni-heidelberg.de/diglit/cicerone1923/636,Der Cicerone
ILLU_15361_92_0,,,,,,1279,,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15361,https://gallica.bnf.fr/ark:/12148/bpt6k5404257p/canvas/f92,Art et Décoration. Revue mensuelle d'art moderne
ILLU_11530_237_0,,,,,,1438,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11530,https://digi.ub.uni-heidelberg.de/diglit/kk1929/266,Kunst und Künstler
ILLU_16024_337_0,,,,,,1473,,1936,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/16024,https://gallica.bnf.fr/ark:/12148/bpt6k42261995/canvas/f337,L'Amour de l'art
ILLU_14297_328_1,,,,,,1302,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14297,https://gallica.bnf.fr/ark:/12148/bpt6k9795472d/canvas/f328,Cahiers d'art
ILLU_10555_208_1,,,,,,1368,,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10555,https://digi.ub.uni-heidelberg.de/diglit/kfa1909_1910/230,Die Kunst für Alle
ILLU_15316_529_0,,,,,,1476,,1884,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15316,https://gallica.bnf.fr/ark:/12148/bpt6k891986w/f529,L'Art
ILLU_14377_351_2,,,,,,1302,,1928,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14377,https://gallica.bnf.fr/ark:/12148/bpt6k9795256m/canvas/f351,Cahiers d'art
ILLU_14989_120_0,,,,,,1473,,1930,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14989,https://gallica.bnf.fr/ark:/12148/bpt6k42260369/canvas/f120,L'Amour de l'art
ILLU_15345_110_1,,,,,,1279,,1902,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15345,https://gallica.bnf.fr/ark:/12148/bpt6k5839096f/canvas/f110,Art et Décoration. Revue mensuelle d'art moderne
ILLU_14450_147_3,,,,,,1479,,1908,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14450,https://gallica.bnf.fr/ark:/12148/bpt6k6111456s/f147,L'Art et les artistes
ILLU_10787_15_0,,,,,,1438,,1909,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10787,https://digi.ub.uni-heidelberg.de/diglit/kk1910/25,Kunst und Künstler
ILLU_14982_417_2,,,,,,1473,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14982,https://gallica.bnf.fr/ark:/12148/bpt6k42262130/canvas/f417,L'Amour de l'art
ILLU_14319_406_0,,,,,,1302,,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14319,https://gallica.bnf.fr/ark:/12148/bpt6k9796461x/canvas/f406,Cahiers d'art
ILLU_11375_523_0,,,,,,1336,,1926,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11375,https://digi.ub.uni-heidelberg.de/diglit/cicerone1926/543,Der Cicerone
ILLU_15687_38_1,,,,,,1479,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15687,https://gallica.bnf.fr/ark:/12148/bpt6k6100854r/f38,L'Art et les artistes
ILLU_14934_19_0,,,,,,1484,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14934,https://gallica.bnf.fr/ark:/12148/bpt6k3054590b/canvas/f19,L'Art vivant
ILLU_15639_136_0,,,,,,1479,,1912,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15639,https://gallica.bnf.fr/ark:/12148/bpt6k6100847m/f136,L'Art et les artistes
ILLU_11566_211_1,,,,,,1438,,1930,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11566,https://digi.ub.uni-heidelberg.de/diglit/kk1930/235,Kunst und Künstler
ILLU_13258_252_1,,,,,,1351,,1904,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13258,https://digi.ub.uni-heidelberg.de/diglit/dkd1903_1904/263,Deutsche Kunst und Dekoration
ILLU_10525_42_0,,,,,,1368,,1885,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10525,https://digi.ub.uni-heidelberg.de/diglit/kfa1886/63,Die Kunst für Alle
ILLU_14271_146_0,,,,,,1389,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14271,https://gallica.bnf.fr/ark:/12148/bpt6k32951f/canvas/f146,Documents
ILLU_10767_139_0,,,,,,1368,,1892,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10767,https://digi.ub.uni-heidelberg.de/diglit/kfa1891_1892/171,Die Kunst für Alle
ILLU_11430_675_0,,,,,,1336,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11430,https://digi.ub.uni-heidelberg.de/diglit/cicerone1927/701,Der Cicerone
ILLU_14935_19_0,,,,,,1484,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14935,https://gallica.bnf.fr/ark:/12148/bpt6k3054590b/canvas/f19,L'Art vivant
ILLU_11570_342_1,,,,,,1438,,1930,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11570,https://digi.ub.uni-heidelberg.de/diglit/kk1930/366,Kunst und Künstler
ILLU_10782_183_0,,,,,,1368,,1900,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10782,https://digi.ub.uni-heidelberg.de/diglit/kfa1899_1900/197,Die Kunst für Alle
ILLU_16013_379_1,,,,,,1473,,1931,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/16013,https://gallica.bnf.fr/ark:/12148/bpt6k4226096k/canvas/f379,L'Amour de l'art
ILLU_10545_25_0,,,,,,1368,,1894,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10545,https://digi.ub.uni-heidelberg.de/diglit/kfa1894_1895/36,Die Kunst für Alle
ILLU_10866_552_0,,,,,,1430,,1899,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10866,https://digi.ub.uni-heidelberg.de/diglit/jugend1899_2/128,Jugend
ILLU_12442_305_0,,,,,,1351,,1931,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12442,https://digi.ub.uni-heidelberg.de/diglit/dkd1930_1931/309,Deutsche Kunst und Dekoration
ILLU_10369_105_0,,,,,,1368,,1930,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10369,https://digi.ub.uni-heidelberg.de/diglit/kfa1929_1930/121,Die Kunst für Alle
ILLU_11534_386_0,,,,,,1438,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11534,https://digi.ub.uni-heidelberg.de/diglit/kk1929/415,Kunst und Künstler
ILLU_11338_549_0,,,,,,1336,,1922,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11338,https://digi.ub.uni-heidelberg.de/diglit/cicerone1922/571,Der Cicerone
ILLU_12033_93_2,,,,,,1384,,1935,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12033,https://digi.ub.uni-heidelberg.de/diglit/wk1935/45,Die Weltkunst [bis 1930: Die Kunstauktion]
ILLU_14410_195_0,,,,,,1479,,1909,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14410,https://gallica.bnf.fr/ark:/12148/bpt6k5864894n/f195,L'Art et les artistes
ILLU_14957_192_3,,,,,,1473,,1922,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14957,https://gallica.bnf.fr/ark:/12148/bpt6k4226049x/f192,L'Amour de l'art
ILLU_10955_75_0,,,,,,1438,,1916,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10955,https://digi.ub.uni-heidelberg.de/diglit/kk1917/87,Kunst und Künstler
ILLU_11224_166_0,,,,,,1336,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11224,https://digi.ub.uni-heidelberg.de/diglit/cicerone1911/191,Der Cicerone
ILLU_15852_1_2,,,,,,1312,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15852,https://gallica.bnf.fr/ark:/12148/bpt6k7651865n/f1,Comoedia
ILLU_10745_371_1,,,,,,1438,,1910,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10745,https://digi.ub.uni-heidelberg.de/diglit/kk1910/383,Kunst und Künstler
ILLU_11283_347_0,,,,,,1438,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11283,https://digi.ub.uni-heidelberg.de/diglit/kk1911/357,Kunst und Künstler
ILLU_11397_545_1,,,,,,1336,,1923,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11397,https://digi.ub.uni-heidelberg.de/diglit/cicerone1923/569,Der Cicerone
ILLU_14253_173_0,,,,,,1302,,1934,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14253,https://gallica.bnf.fr/ark:/12148/bpt6k97953470/canvas/f173,Cahiers d'art
ILLU_14315_168_3,,,,,,1302,,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14315,https://gallica.bnf.fr/ark:/12148/bpt6k9796461x/canvas/f168,Cahiers d'art
ILLU_14310_239_0,,,,,,1302,,1931,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14310,https://gallica.bnf.fr/ark:/12148/bpt6k4226316k/canvas/f239,Cahiers d'art
ILLU_10875_322_0,,,,,,1438,,1903,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10875,https://digi.ub.uni-heidelberg.de/diglit/kk1904/329,Kunst und Künstler
ILLU_12657_767_1,,,,,,1336,,1928,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12657,https://digi.ub.uni-heidelberg.de/diglit/cicerone1928/803,Der Cicerone
ILLU_15691_126_0,,,,,,1479,,1911,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15691,https://gallica.bnf.fr/ark:/12148/bpt6k6100854r/f126,L'Art et les artistes
ILLU_13078_141_0,,,,,,1351,,1912,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13078,https://digi.ub.uni-heidelberg.de/diglit/dkd1912_1913/155,Deutsche Kunst und Dekoration
ILLU_14254_192_1,,,,,,1302,,1934,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14254,https://gallica.bnf.fr/ark:/12148/bpt6k97953470/canvas/f192,Cahiers d'art
ILLU_14952_60_2,,,,,,1473,,1921,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14952,https://gallica.bnf.fr/ark:/12148/bpt6k4226018c/f60,L'Amour de l'art
ILLU_13290_291_0,,,,,,1351,,1921,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13290,https://digi.ub.uni-heidelberg.de/diglit/dkd1921/309,Deutsche Kunst und Dekoration
ILLU_11374_397_3,,,,,,1336,,1926,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11374,https://digi.ub.uni-heidelberg.de/diglit/cicerone1926/413,Der Cicerone
ILLU_15949_75_0,,,,,,1302,,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15949,https://gallica.bnf.fr/ark:/12148/bpt6k9796461x/canvas/f75,Cahiers d'art
ILLU_11425_326_0,,,,,,1336,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11425,https://digi.ub.uni-heidelberg.de/diglit/cicerone1927/348,Der Cicerone
ILLU_14933_42_2,,,,,,1484,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14933,https://gallica.bnf.fr/ark:/12148/bpt6k3054590b/canvas/f42,L'Art vivant
ILLU_14592_237_0,,,,,,1476,,1879,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14592,https://gallica.bnf.fr/ark:/12148/bpt6k1055746h/f237,L'Art
ILLU_14297_333_2,,,,,,1302,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14297,https://gallica.bnf.fr/ark:/12148/bpt6k9795472d/canvas/f333,Cahiers d'art
ILLU_11390_724_1,,,,,,1336,,1928,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11390,https://digi.ub.uni-heidelberg.de/diglit/cicerone1928/760,Der Cicerone
ILLU_12656_465_0,,,,,,1336,,1928,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12656,https://digi.ub.uni-heidelberg.de/diglit/cicerone1928/499,Der Cicerone
ILLU_13391_145_1,,,,,,1351,,1930,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13391,https://digi.ub.uni-heidelberg.de/diglit/dkd1930/155,Deutsche Kunst und Dekoration
ILLU_13363_316_0,,,,,,1351,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13363,https://digi.ub.uni-heidelberg.de/diglit/dkd1928_1929/326,Deutsche Kunst und Dekoration
ILLU_14594_369_1,,,,,,1476,,1880,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14594,https://gallica.bnf.fr/ark:/12148/bpt6k10557542/f369,L'Art
ILLU_14966_60_0,,,,,,1473,,1924,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14966,https://gallica.bnf.fr/ark:/12148/bpt6k4226339k/f60,L'Amour de l'art
ILLU_11401_739_1,,,,,,1336,,1923,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11401,https://digi.ub.uni-heidelberg.de/diglit/cicerone1923/765,Der Cicerone
ILLU_10792_296_0,,,,,,1368,,1892,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10792,https://digi.ub.uni-heidelberg.de/diglit/kfa1891_1892/374,Die Kunst für Alle
ILLU_11503_401_0,,,,,,1438,,1926,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11503,https://digi.ub.uni-heidelberg.de/diglit/kk1926/428,Kunst und Künstler
ILLU_12184_910_2,,,,,,1384,,1931,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12184,https://digi.ub.uni-heidelberg.de/diglit/wk1931/100,Die Weltkunst [bis 1930: Die Kunstauktion]
ILLU_15698_151_0,,,,,,1479,,1912,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15698,https://gallica.bnf.fr/ark:/12148/bpt6k6106552r/f151,L'Art et les artistes
ILLU_10877_351_0,,,,,,1438,,1905,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10877,https://digi.ub.uni-heidelberg.de/diglit/kk1905/371,Kunst und Künstler
ILLU_13339_109_0,,,,,,1351,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13339,https://digi.ub.uni-heidelberg.de/diglit/dkd1927_1928/119,Deutsche Kunst und Dekoration
ILLU_15358_223_1,,,,,,1408,,1909,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15358,https://gallica.bnf.fr/ark:/12148/bpt6k6111270c/f223,Gazette des Beaux-Arts
ILLU_11300_757_0,,,,,,1336,,1919,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11300,https://digi.ub.uni-heidelberg.de/diglit/cicerone1919/791,Der Cicerone
ILLU_10542_39_0,,,,,,1368,,1892,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10542,https://digi.ub.uni-heidelberg.de/diglit/kfa1892_1893/56,Die Kunst für Alle
ILLU_12009_27283_3,,,,,,1384,,1936,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12009,https://digi.ub.uni-heidelberg.de/diglit/wk1936/117,Die Weltkunst [bis 1930: Die Kunstauktion]
ILLU_10951_452_1,,,,,,1368,,1915,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10951,https://digi.ub.uni-heidelberg.de/diglit/kfa1914_1915/487,Die Kunst für Alle
ILLU_14297_331_0,,,,,,1302,,1929,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14297,https://gallica.bnf.fr/ark:/12148/bpt6k9795472d/canvas/f331,Cahiers d'art
ILLU_14377_348_3,,,,,,1302,,1928,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14377,https://gallica.bnf.fr/ark:/12148/bpt6k9795256m/canvas/f348,Cahiers d'art
ILLU_10415_177_0,,,,,,1569,,1895,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10415,https://digi.ub.uni-heidelberg.de/diglit/pan1895_96_2/48,Pan
