id,title,author,link,technique,dimensions,date
ILLU_11246_763_0,Portrait of Dr. Gachet,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Bildnis_Doktor_Gachet.jpeg,Oil on canvas , 67 x 56cm,
ILLU_11281_301_0,Field with Poppies,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Field_with_Poppies_(1889).jpg,Oil on canvas , 72 x 91cm ," Saint-rémy, early"
ILLU_11283_361_0,"Boulevard Montmartre, Spring",Camille Pissarro,,Oil on canvas , 46 x 55cm , 1897
ILLU_11284_641_1,Le Pont Saint-Michel et le Quai des Grands Augustins,Albert Marquet,https://commons.wikimedia.org/wiki/File:The_Pont_Saint-Michel_and_the_Quai_des_Grands_Augustins_Albert_Marquet_%281912%29.jpg?uselang=fr,,,1912
ILLU_11290_323_0,En bateau,Edouard Manet,https://www.metmuseum.org/art/collection/search/436947,Huile sur toile , 97.2 x 130.2cm , 1874
ILLU_11290_37_0,La Chanteuse de rue,Édouard Manet,https://fr.wikipedia.org/wiki/La_Chanteuse_de_rue,Huile sur toile , 174 x 118cm , 1862
ILLU_11290_411_0,Le Balcon,Édouard Manet,https://en.wikipedia.org/wiki/The_Balcony_(painting),Huile sur toile , 170 x 124.5cm , 1868-1869
ILLU_11291_64_0,Windmill at Zaandam,Claude Monet,,,,1871
ILLU_11305_396_0,Ile de France Landscape,Paul Cézanne,,,,1880
ILLU_11305_409_0,Resting Cows,Franz Marc,,,,1911
ILLU_11307_542_0,Madame de Pastoret and Her Son,Jacques Louis David,,Oil on canvas , 129.8 x 96.6cm , 1791/92
ILLU_11312_261_0,Bathers with a Turtle,Henri Matisse,,Oil on canvas , 179.1 x 220.3cm , 1908
ILLU_11314_390_0,Portrait of the countess pourtales,Auguste Renoir,,,,1877
ILLU_11317_594_0,"Wood Gatherer, Figure Study",Vincent van Gogh,,Watercolor on paper ,, 1884
ILLU_11340_630_2,Les Mangeurs de pommes de terre,Vincent van Gogh,https://en.wikipedia.org/wiki/The_Potato_Eaters,Huile sur toile , 82 x 114cm , 1885
ILLU_11340_643_0,Street in Saintes-Maries,Vincent van Gogh,,Ink on paper , 30.5 x 47cm , 1888
ILLU_11340_648_0,Farmhouse with Two Figures,Vincent van Gogh,,Oil on canvas , 45 x 38cm , 1890
ILLU_11340_652_0,Still Life: Potatoes in a Yellow Dish,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Stillleben_mit_Kartoffeln_in_gelber_Sch%C3%BCssel.jpeg,Oil on canvas , 39 x 47cm , 1888
ILLU_11349_230_1,Spanish Woman With Tambourine,Henri Matisse,https://pushkinmuseum.art/?lang=en,Oil on canvas , 92 x 73cm , 1909
ILLU_11363_113_1,Pierrot and Harlequin,Paul Cézanne,,Oil on canvas , 102 x 81cm , c. 1888
ILLU_11363_117_1,Portrait of Doctor Rey,Vincent van Gogh,http://www.arts-museum.ru/,Oil on canvas , 64 x 53cm , 1889
ILLU_11363_119_2,Painter's Family,Henri Matisse,https://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/01.+paintings/28469,Oil on canvas , 143 x 194cm , 1911
ILLU_11363_120_2,Old blind man with boy,Pablo Picasso,,Oil on canvas , 125 x 92cm , 1903
ILLU_11363_25_1,Portrait of a Woman,Auguste Renoir,,,,
