journal_id;level;keyword;;;;
;1.3.1.25 ;Impressionismus;;;;
;1.3.1.26 ;Neoimpressionismus;;;;
;1.3.1.27 ;Pointillismc;;;;
;1.3.1.28 ;Japonisme;;;;
;1.3.1.29 ;Glasgower Schule;;;;
;1.3.1.30 ;Gruppe der X1;;;;
;1.3.1.31 ;Deutsche Sczession;;;;
;1.3.1.31.1 ;Münchner Sezession (1892);;;;
;1.3.1.31.2 ;Wiener Sezession (1897);;;;
;1.3.1.31.3 ;Berliner Sezession (1898);;;;
;1.3.1.31.4 ;Berliner Neue Sezession (1910);;;;
;1.3.1.31.5 ;Münchner Neue Sezession (1914);;;;
;1.3.1.31.6 ;Darrnstädter Sezession;;;;
;1.3.1.31.7 ;Luitpoldgruppe;;;;
;1.3.1.32 ;"München : Societe 'Ateliers reunis pour ran dans le menet""";;;;
;1.3.1.33 ;München : Theäuc des Artistes;;;;
;1.3.1.34 ;Symbolismus;;;;
;1.3.1.35 ;Jugendstil;;;;
;1.3.1.36 ;An nouveau;;;;
;1.3.1.37 ;Scholle;;;;
;1.3.1.38 ;Kunstschau Wien;;;;
;1.3.1.39 ;Worpswede;;;;
;1.3.1.40 ;Künstlerkolonie Darmstadt;;;;
;1.3.1.41 ;Fauvismus;;;;
;1.3.1.42 ;Kubismus;;;;
;1.3.1.43 ;Primitive Kunst;;;;
;1.3.1.44 ;Künstler des caft du Döme;;;;
;1.3.1.45 ;Dachauer Malerschule;;;;
9105;1.3.1.46 ;Expressionismus;;;;
;1.3.1.47 ;Die Brücke (1905);;;;
;1.3.1.48 ;Deutsche Werkbund (1907-1934);;;;
;1.3.1.49 ;Abstraktion ;;;;
;1.3.1.50 ;Blauer Reiter (1911);;;;
;1.3.1.51 ;Dada;;;;
;1.3.1.52 ;Neoplasticism;;;;
;1.3.1.53 ;Futurismus;;;;
;1.3.1.54 ;Konstniktivismus;;;;
;1.3.1.55 ;Bauhaus;;;;
;1.3.1.56 ;Surrealismus;;;;
;1.3.1.57 ;Neue Sachlichkeit;;;;
;1.3.1.58 ;N6o-Realismus;;;;
;1.3.1.59 ;Ecolc dc Paris;;;;
9374;1.3.2 ;Künstlerische Techniken;;;;
15809;1.3.2.1 ;Malerei;;;;
9746;1.3.2.2 ;Peinture derotalive;;;;
11284;1.3.2.3 ;Zeichnung/ Aquarelle;;;;
9276;1.3.2.4 ;Druckgraphik;;;;
11277;1.3.2.4 ;Druckgraphik;;;;
16411;1.3.2.5 ;Karikatur;;;;
11577;1.3.2.6 ;Skulptur;;;;
11389;1.3.2.7 ;Architektur;;;;
11278;1.3.2.8 ;Kunstgewerbe;;;;
;1.3.2.9 ;Manuscrits/Miniatures/livres illustres;;;;
;1.3.2.10 ;Mode/Kostüm;;;;
;1.3.2.11 ;Ethnographie;;;;
;1.3.2.12 ;Fotografie;;;;
;1.3.2.13 ;Film;;;;
;1.3.2.14 ;Musik;;;;
;1.3.2.15 ;Literatur;;;;
;1.3.2.16 ;Theater;;;;
;1.3.2.17 ;Herausgabe;;;;
9659;1.3.3 ;Gattungen;;;;
;1.3.3.1 ;Historische Themen;;;;
;1.3.3.2 ;Mythologische : Allegorische Themen;;;;
;1.3.3.3 ;Religiose Themen;;;;
;1.3.3.4 ;Landschaftsmalerei;;;;
;1.3.3.5 ;Portrait;;;;
;1.3.3.6 ;Crememalad;;;;
;1.3.3.7 ;Stilleben;;;;
;1.3.3.8 ;Akt;;;;
;1.3.3.9 ;Tier;;;;
;1.3.3.10 ;Militär;;;;
9443;1.3.4 ;Ausstellungen;;;;
;1.3.4.1 ;Weltausstellung;;;;
;1.3.4.1.1 ;Paris : Weltausstellung- 1855;;;;
;1.3.4.1.2 ;London : Weltausstellung- 1862 ;;;;
;1.3.4.1.3 ;Paris : Weltausstellung- 1867 ;;;;
;1.3.4.1.4 ;Wien : Weltausstellung. 1873;;;;
;1.3.4.1.5 ;Paris : Weltausstellung. 1878;;;;
;1.3.4.1.6 ;Amsterdam : Weltausstellung. 1883;;;;
;1.3.4.1.7 ;Paris : Weltausstellung. 1889;;;;
;1.3.4.1.8 ;Paris : Weltausstellung. 1900;;;;
;1.3.4.1.8.1 ;Exposition &ixnute dc la medaille francaise et etrangere;;;;
;1.3.4.1.9 ;Turin : Exposition internationale des ans modernes et decoratifs- 1902;;;;
;1.3.4.1.10 ;Saint-Louis . Weltausstellung- 1904;;;;
;1.3.4.1.11 ;Milan : Weltausstellung. 1906;;;;
;1.3.4.1.12 ;Hflixenes : Exposition universelle et internationale- 1910;;;;
;1.3.4.1.13 ;Dresden : Exposition internationale des ans. 1926;;;;
;1.3.4.1.14 ;Barcelona : Weltausstellung. 1929;;;;
;1.3.4.1.15 ;Paris : Weltausstellung- 1937;;;;
9655;1.3.4.2 ;Salons und Vereinsausstellungen;;;;
9737;1.3.4.2.1 ;In Frankreich;;;;
;1.3.4.2 1.1 ;Exposition Winterhalter. 1928;;;;
;1.3.4.2.1.2 ;Pavillon de la Villc de Paris Menzel Ausstellung. 1885;;;;
;1.3.4.2.1.3 ;Pavillon dc la Villc dc Paris : Exposition internationale dc Blanc et Noir ;;;;
;1.3.4.2.1.4 ;Paris : Ecole des Beaux-ans;;;;
;1.3.4.2.1.4.1 ;Exposition dc dcssins de maitres. 1878;;;;
;1.3.4.2.1.4.2 ;Exposition Henri Lehmann. 1883;;;;
;1.3.4.2.1.5 ;Paris : Exposition internationale de Blanc et noir;;;;
;1.3.4.2.1.6 ;Paris Societe internationale detail (ab 1878);;;;
;1.3.4.2.1.7 ;Paris Seefett des anistes vivants;;;;
9270;1.3.4.2.1.8 ;Paris: Societt des anistes francais (ab 1881);;;;
;1.3.4.2.1.9 ;Paris : Societe des artistes indepcndants (ab 1884);;;;
;1.3.4.2.1.10 ;Paris : Salon dc l'Union liberale (ab 1884);;;;
;1.3.4.2.1.11 ;Paris Salon de l'Union internationale;;;;
;1.3.4.2.1.12 ;Paris Societe des aquarellistcs;;;;
;13.4.2.1.13 ;Pans : Societe des Pastellistes;;;;
;1.3.4.2.1.14 ;Paris Societe nationale des beaux-ans (ab 1890);;;;
;1.3.4.2.1.15 ;Paris : Salon dc la Rose+Croix (1892-1897);;;;
;1.3.4.2.1.16 ;Paris : Socke des artistes decorateurs (ab 1901);;;;
;1.3.4.2.1.17 ;Paris : Seeiete du Salon d'automne (ab 1903);;;;
;1.3.4.2.1.17.1 ;Paris Salon d'automne. 1909;;;;
;1.3.4.2.1.17.2 ;Paris : Salon d'automne. 1910;;;;
;1.3.4.2.1.17.3 ;Paris : Salon d'automne- 1927;;;;
;1.3.4.2.1.18 ;Paris : Salon des humonstes (1907- );;;;
;1.3.4.2.1.19 ;Paris : Salon des Serindependants;;;;
;1.3.4.2.1.20 ;Paris : Union centrale des ans decoratifs;;;;
;1.3.4.2.1.21 ;Paris : Preiet d'exposition internationale d'art decoratif (1921-1924) ;;;;
;1.3.4.2.1.22 ;Paris : Exposition internationale d'art decoratif- 1925;;;;
