id,_descrpiton,_artist,_material,_dimensions,_date-artwork,year,keywords
ILLU_14924_1_0,Bonaparte franchissant le Grand-Saint-Bernard,Jacques-Louis David,oil on canvas,273.00x234.00cm,1802.0,1919,Reproduction
ILLU_14954_266_0,Dog Lying in the snow,Franz Marc,,,1911.0,1921,Reproduction
ILLU_14975_262_1,The Monet Family in Their Garden at Argenteuil,Edouard Manet,oil on canvas,61.00x99.70cm,1874.0,1926,Reproduction
ILLU_14976_363_0,View of the Bay of Marseille with the Village of Saint-Henri,Paul Cézanne,oil on canvas,65.90x81.30cm,1883.0,1926,Reproduction
ILLU_14976_364_0,"Italian Woman, or Woman with Yellow Sleeve (L'Italienne)",Jean-Baptiste-Camille Corot,oil on canvas,73.00x59.00cm,1870.0,1926,Reproduction
ILLU_14976_365_0,Baigneuse aux cheveux longs,Pierre-Auguste Renoir,oil on canvas,82.00x65.00cm,1895.0,1926,Reproduction
ILLU_14976_366_1,Laundry Girls Ironing,Edgar Degas,oil on canvas,,1884.0,1926,Reproduction
ILLU_14976_368_2,The Resurrection,Ugolino di Nerio,egg tempera on wood,41.50x58.10cm,1325.0,1926,Reproduction
ILLU_14977_293_1,Luncheon in the Studio,Édouard Manet,oil on canvas,118.00x153.90cm,1868.0,1926,Reproduction
ILLU_14977_294_0,Don Quijote and Sancho Panza,Honoré Daumier,oil on canvas,51.00x32.00cm,1868.0,1926,Reproduction
ILLU_14981_386_0,"March Sun, Pontoise",Camille Pissarro,oil on canvas,55.30x92.80cm,1875.0,1927,Reproduction
ILLU_15316_484_0,The Plowman,Hans Holbein le Jeune,woodcut on paper,65.00x48.00cm,1525.0,1884,Reproduction
ILLU_15357_135_0,Self-Portrait,Albrecht Dürer,pen,,1521.0,1909,Reproduction
ILLU_15678_27_0,Jabach Altarpiece,Albrecht Dürer,oil on panel,94.00x51.00cm,1504.0,1912,Reproduction
ILLU_15678_28_0,Portrait of Bernhart von Reesen,Albrecht Dürer,oil on oak panel,45.40x31.50cm,1521.0,1912,Reproduction
ILLU_15682_108_1,Autoportrait,Paul Guigou,oil on canvas,40.00x30.00cm,1869.0,1912,Reproduction
ILLU_16290_45_1,A young ladys adventure,Paul Klee,watercolor,43.80cm,1921.0,1946,Reproduction
ILLU_16297_129_2,Hiver à Schwabing,Wassily Kandinsky,oil on canvas,23.70x32.90cm,1902.0,1946,Reproduction
ILLU_16297_132_1,"Rapallo, mer orageuse",Wassily Kandinsky,oil on canvas,23.00x33.00cm,1906.0,1946,Reproduction
ILLU_10256_405_1,Christ Carrying the Cross,Titian,oil on canvas,70.00x100.00cm,1506.0,1902,Reproduction
ILLU_10332_86_0,"Corot's Studio: Woman Seated Before an Easel, a Mandolin in her Hand",Jean-Baptiste-Camille Corot,oil on wood,61.80x40.00cm,1868.0,1910,Reproduction
ILLU_10332_92_0,Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,oil on canvas,165.10x127.60cm,1862.0,1910,Reproduction
ILLU_10332_94_0,Jeanne (Spring),Édouard Manet,oil on canvas,74.00x51.50cm,1881.0,1910,Reproduction
ILLU_10358_94_1,L'accordéon,Fernand Léger,oil on canvas,134.20x92.70x4.00cm,1926.0,1931,Reproduction
ILLU_10367_63_0,The Musician s Table,Juan Gris,oil on canvas,15.24cm,1926.0,1929,Reproduction
ILLU_10397_164_0,Bridge Across the Marne at Créteil (Banks of the Marne),Paul Cézanne,oil on canvas,71.00x90.00cm,1895.0,1910,Reproduction
ILLU_10445_429_0,"La Route de Sin-le-Noble, près de Douai",Jean-Baptiste Camille Corot,,6.00x8.10cm,1873.0,1903,Reproduction
ILLU_10456_82_0,La rencontre,Gustave Courbet,oil on canvas,132.40x151.00cm,1854.0,1905,Reproduction
ILLU_10459_283_0,The Duck Pond,Pierre-Auguste Renoir,oil on canvas,50.40x60.90cm,1873.0,1906,Reproduction
ILLU_10459_284_0,Le Déjeuner des Canotiers,Pierre-Auguste Renoir,oil on canvas,1302.00x1756.00cm,1880.0,1906,Reproduction
ILLU_10464_161_0,Portrait of a mother,Paul Gauguin,oil on canvas,41.00x33.00cm,1894.0,1907,Reproduction
ILLU_10466_475_0,Gardanne (Horizontal View) (Gardanne [vue horizontale]),Paul Cézanne,oil on canvas,64.80x100.30cm,1885.0,1908,Reproduction
ILLU_10467_500_0,The Attentive Nurse,Jean Siméon Chardin,oil on canvas,46.20x37.00cm,1747.0,1908,Reproduction
ILLU_10480_275_0,Street Corner Seen from Above,Pierre Bonnard,lithograph,53.00x40.70cm,1899.0,1910,Reproduction
ILLU_10480_276_0,Street Scene from Above,Pierre Bonnard,lithograph,53.10x41.00cm,1899.0,1910,Reproduction
ILLU_10486_583_0,Wheat Field with Sheaves and Arles in the Background,Vincent van Gogh,ink on paper,31.50x24.00cm,1888.0,1910,Reproduction
ILLU_10487_102_0,Four Breton Women,Paul Gauguin,oil on canvas,71.80x91.40cm,1886.0,1910,Reproduction
ILLU_10649_241_0,On the Cliff at Pourville Clear Weather,Claude Monet,,,1882.0,1903,Reproduction
ILLU_10655_624_0,"The Hunted Deer, Spring",Gustave Courbet,,111.00x85.00cm,1867.0,1911,Reproduction
ILLU_10664_348_0,The Garden at Fontenay,Auguste Renoir,oil on canvas,62.00x51.00cm,1874.0,1910,Reproduction
ILLU_10670_175_0,Springtime,Claude Monet,,,1873.0,1903,Reproduction
ILLU_10672_145_0,Jeanne (Spring),Édouard Manet,oil on canvas,74.00x51.50cm,1881.0,1906,Reproduction
ILLU_10672_150_0,Quai du Louvre,Claude Monet,,,1867.0,1906,Reproduction
ILLU_10708_137_0,Faust meeting Marguerite,Eugène Delacroix,lithography,,1828.0,1909,Reproduction
ILLU_10709_86_0,The swineherd,Paul Gauguin,oil on canvas,,1889.0,1909,Reproduction
ILLU_10719_130_1,The Weir at the Mill,Gustave Courbet,oil on canvas,64.50x54.00cm,1866.0,1898,Reproduction
ILLU_10725_390_0,Claude Monet painting in his studio,Édouard Manet,oil on canvas,80.00x98.00cm,1874.0,1910,Reproduction
ILLU_10725_394_0,Portrait of Mademoiselle Isabelle Lemonnier,Édouard Manet,oil on canvas,101.00x801.00cm,1879.0,1910,Reproduction
ILLU_10737_7_0,The Trumpeter of the Orleans Hussars,Théodore Géricault,oil on canvas,48.00x38.30cm,1813.0,1900,Reproduction
ILLU_10737_7_1,"Portrait d’Eugénie-Paméla Larivière (1804-1824), sœur de l’artiste",Louis-Eugène Lariviere,,,1820.0,1900,Reproduction
ILLU_10791_541_0,La Charrette,Le Nain,oil on canvas,5.60x7.20cm,1641.0,1909,Reproduction
ILLU_10888_642_3,Red Spot II,Wassily Kandinsky,,,1921.0,1925,Reproduction
ILLU_10933_92_0,The Tragedy,Pablo Picasso,oil on wood,105.30x69.00cm,1903.0,1912,Reproduction
ILLU_10947_529_0,The Promenade,Théo Van Rysselberghe,oil on canvas,97.00x130.00cm,1901.0,1914,Reproduction
ILLU_10948_177_0,Salome Dancing before Herod,Gustave Moreau,oil on canvas,103.50x144.00cm,1876.0,1914,Reproduction
ILLU_10955_43_0,Le Déjeuner des Canotiers,Pierre-Auguste Renoir,oil on canvas,1302.00x1756.00cm,1880.0,1916,Reproduction
ILLU_10964_372_1,Le Pont-au-change,Charles Meryon,,,1854.0,1919,Reproduction
ILLU_10966_143_0,Smoker,Paul Cézanne,oil on canvas,,1892.0,1922,Reproduction
ILLU_11224_164_0,"Marissal, Path to the Front of the Church",Jean-Baptiste Camille Corot,oil on panel,,1866.0,1911,Reproduction
ILLU_11224_165_0,Mademoiselle de Foudras,Jean Baptiste Camille Corot,oil on canvas,89.00x59.70cm,1872.0,1911,Reproduction
ILLU_11245_676_0,A Farm in Brittany,Paul Gauguin,oil on canvas,72.40x90.50cm,1894.0,1912,Reproduction
ILLU_11290_38_0,The Old Musician,Edouard Manet,oil on canvas,187.40x248.20cm,1862.0,1912,Reproduction
ILLU_11307_543_0,Madame David,Jacques-Louis David,oil on canvas,72.90x59.40cm,1813.0,1913,Reproduction
ILLU_11307_546_0,"Joachim Murat (1767 - 1815), roi de Naples",Baron Antoine-Jean Gros,,34.30x28.00cm,1812.0,1913,Reproduction
ILLU_11308_54_0,Portrait of Rosita Mauri,Édouard Manet,,85.00x65.00cm,1870.0,1913,Reproduction
ILLU_11309_99_0,Berthe Morisot à l'éventail,Édouard Manet,oil on canvas,60.00x45.00cm,1872.0,1913,Reproduction
ILLU_11312_262_0,Orpheus and Eurydice,Anselm Feuerbach,oil on canvas,200.00x126.50cm,1869.0,1914,Reproduction
ILLU_11340_626_0,Portrait of the Postman Joseph Roulin,Vincent van Gogh,oil on canvas,65.00x54.00cm,1889.0,1922,Reproduction
ILLU_11340_626_3,L'Arlésienne,Vincent van Gogh,oil on canvas,93.00x74.00cm,1888.0,1922,Reproduction
ILLU_11340_630_0,Les Mangeurs de pommes de terre,Vincent van Gogh,oil on canvas,82.00x114.00cm,1885.0,1922,Reproduction
ILLU_11340_651_1,Interior of a restaurant,Vincent van Gogh,oil on canvas,45.50x56.50cm,1887.0,1922,Reproduction
ILLU_11341_686_2,Jas de Bouffan,Paul Cézanne,oil on canvas,,1887.0,1922,Reproduction
ILLU_11363_21_1,Nude (Nude Seated on a Sofa),Auguste Renoir,oil on canvas,92.00x73.00cm,1876.0,1926,Reproduction
ILLU_11363_26_0,Dancer Posing for a Photographer,Edgar Degas,oil on canvas,65.00x50.00cm,1875.0,1926,Reproduction
ILLU_11374_381_3,Portrait de Madame M.,Henri Rousseau,oil on canvas,198.00x115.00cm,1895.0,1926,Reproduction
ILLU_11374_385_3,Young Girl with Peonies,Alexej von Jawlensky,,,1909.0,1926,Reproduction
ILLU_11378_75_0,Portrait of Père Tanguy,Vincent van Gogh,oil on canvas,65.00x51.00cm,1888.0,1928,Reproduction
ILLU_11379_94_0,Woman fastening her garter,Édouard Manet,oil on canvas,,1878.0,1928,Reproduction
ILLU_11383_145_0,"Madame Henri François Riesener (Félicité Longrois, 1786–1847)",Eugène Delacroix,oil on canvas,74.30x60.30cm,1835.0,1928,Reproduction
ILLU_11388_393_0,Les Parapluies,Pierre-Auguste Renoir,oil on canvas,180.30x114.90cm,1881.0,1928,Reproduction
ILLU_11388_395_0,At the Theatre (La Première Sortie),Pierre-Auguste Renoir,oil on canvas,65.00x49.50cm,1876.0,1928,Reproduction
ILLU_11400_638_2,Arlésiennes (Mistral),Paul Gauguin,oil on jute canvas,73.00x92.00cm,1888.0,1923,Reproduction
ILLU_11426_369_0,La Charrette. Route sous la neige à Honfleur,Claude Monet,oil on canvas,65.00x93.00cm,1865.0,1927,Reproduction
ILLU_11426_371_0,L'Absinthe,Edgar Degas,oil on canvas,92.00x68.50cm,1873.0,1927,Reproduction
ILLU_11426_375_1,Les Joueurs de Cartes,Paul Cézanne,oil on canvas,,1894.0,1927,Reproduction
ILLU_11434_326_0,Portrait of a Man,Circle of Lucas Cranach the Elder,oil on alder,55.90x42.50cm,1537.0,1929,Reproduction
ILLU_11451_205_0,The Gleaners,Camille Pissarro,oil on canvas,81.00x65.50cm,1889.0,1930,Reproduction
ILLU_11458_226_0,Harlequin and Pierrot,André Derain,,,1924.0,1931,Reproduction
ILLU_11477_129_0,View of L'Estaque,Paul Cézanne,oil on canvas,60.00x73.00cm,1883.0,1922,Reproduction
ILLU_11480_314_0,Flowers in a Vase,Pierre-Auguste Renoir,,,1880.0,1922,Reproduction
ILLU_11492_241_0,Portrait of Lise Campineanu,Edouard Manet,oil on canvas,55.63x46.48cm,1878.0,1932,Reproduction
ILLU_11492_243_0,"Seascape at Arcachon (Arcachon, beautiful weather)",Édouard Manet,oil on canvas,24.80x41.90cm,1871.0,1932,Reproduction
ILLU_11501_225_0,Autoportrait à vingt-quatre ans,Jean Auguste Dominique Ingres,oil on canvas,77.00x61.00cm,1804.0,1926,Reproduction
ILLU_11503_395_0,Émile Zola,Édouard Manet,oil on canvas,146.50x114.00cm,1868.0,1926,Reproduction
ILLU_11514_248_0,M. and Mme Edouard Manet,Edgar Degas,oil on canvas,65.00x71.00cm,1869.0,1927,Reproduction
ILLU_11530_235_0,Madame Jeantaud au miroir,Edgar Degas,oil on canvas,70.00x84.00cm,1875.0,1929,Reproduction
ILLU_11534_387_1,Still Life with a Guitar,Georges Braque,oil with sand on canvas,116.20x61.00cm,1924.0,1929,Reproduction
ILLU_11536_439_0,Hommage à Cézanne,Maurice Denis,oil on canvas,182.00x243.50cm,1900.0,1929,Reproduction
ILLU_11543_178_0,Eva Gonzalès,Edouard Manet,oil on canvas,191.10x133.40cm,1870.0,1933,Reproduction
ILLU_11543_180_1,The Dead Toreador,Edouard Manet,oil on canvas,75.90x153.30cm,1864.0,1933,Reproduction
