ID,Author,Category,Date,Technique,Dimensions
ILLU_15678_33_0,Lucas Cranach the Elder,painting,"
circa 1520 date QS:P571,+1520-00-00T00:00:00Z/9,P1480,Q5727902",oil,"
height: 58 cm (22.8 in); width: 46 cm (18.1 in)dimensions QS:P2048,58U174728
dimensions QS:P2049,46U174728"
ILLU_15680_69_0,Esther Denner (mother of Balthasar Denner),painting,"
before 1721 date QS:P,+1721-00-00T00:00:00Z/7,P1326,+1721-00-00T00:00:00Z/9 ",oil on canvas,"
height: 37.5 cm (14.7 in) ; width: 31 cm (12.2 in) dimensions QS:P2048,+37.5U174728
dimensions QS:P2049,+31U174728
"
ILLU_15689_82_0,Johann Wolfgang von Goethe,,"
22 June 1775date QS:P571,+1775-06-22T00:00:00Z/11
",graphite,
ILLU_15696_274_2,Hans Maler zu Schwaz,painting,"
circa 1500 ",,"
height: 140 cm (55.1 in) ; width: 44 cm (17.3 in) dimensions QS:P2048,+140.00U174728
dimensions QS:P2049,+44.00U174728
"
ILLU_15696_275_0,Michael Pacher,painting,"
circa 1480 ",,"
height: 212 cm (83.4 in) ; width: 100 cm (39.3 in) dimensions QS:P2048,+212U174728
dimensions QS:P2049,+100U174728
"
ILLU_15715_157_1,Franz von Lenbach,painting,"
1902date QS:P571,+1902-00-00T00:00:00Z/9
",,
ILLU_15795_137_0,,,"
12 March 2016",,
ILLU_15893_201_0,Leo Putz,painting,"
1904 ",oil on canvas,"
height: 187.5 cm (73.8 in) ; width: 195.5 cm (76.9 in) dimensions QS:P2048,+187.5U174728
dimensions QS:P2049,+195.5U174728
"
ILLU_16025_54_0,William Blake,painting,"
1824 / 1820s date QS:P,+1820-00-00T00:00:00Z/8 ",,"
height: 37 cm (14.5 in) ; width: 53 cm (20.8 in) dimensions QS:P2048,+37U174728
dimensions QS:P2049,+53U174728
"
ILLU_16297_127_1,Wassily Kandinsky,painting,"
1900s date QS:P,+1900-00-00T00:00:00Z/8 ",oil,"
height: 23.7 cm (9.3 in) ; width: 32.8 cm (12.9 in) dimensions QS:P2048,+23.7U174728
dimensions QS:P2049,+32.8U174728
"
