id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords
ILLU_11558_101_0,La Carriole du père Junier,Henri Rousseau,https://commons.wikimedia.org/wiki/File:Henri-Julien_F%C3%A9lix_Rousseau_-_La_Carriole_du_P%C3%A8re_Junier.jpg?uselang=fr,,97.00x129.00cm,1438,1908.0,1929,Reproduction
ILLU_11568_290_0,Woman in a Hat,Henri Matisse,,oil on canvas,58.90x49.90cm,1438,1920.0,1930,Reproduction
ILLU_11569_295_0,St. Magdalene in the Desert,Honoré Daumier,,oil on canvas,41.00x33.00cm,1438,1852.0,1930,Reproduction
ILLU_11572_364_1,L'Annonciation,Rogier van der Weyden (atelier),https://donate.louvre.fr/particuliers/~mon-don,,8.60x9.30cm,1438,,1930,Reproduction
ILLU_11746_4014_2,The Spreading Pine Tree in the Brühl Valley near Mödling,Ludwig Ferdinand Schnorr von Carolsfeld,https://sammlung.belvedere.at/objects/1964/die-breite-fohre-nachst-der-bruhl-bei-modling,oil on canvas,66.00x112.00cm,1384,1838.0,1930,Reproduction
ILLU_11883_55_0,Mrs. Davies Davenport,George Romney,https://www.nga.gov/collection/art-object-page.112.html,oil on canvas,76.50x64.00cm,1368,1782.0,1926,Reproduction
ILLU_11896_95_0,Venus and the Lute Player,Titian and Workshop,https://www.metmuseum.org/art/collection/search/437827,oil on canvas,165.10x209.60cm,1384,1565.0,1936,Reproduction
ILLU_12182_209_2,Les joueurs de Rugby,André Lhote,,,,1384,,1931,Reproduction
ILLU_12198_3902_0,The Bridge at Saint Cloud,Alfred Sisley,,oil on canvas,,1384,1877.0,1931,Reproduction
ILLU_12203_515209_0,The Temptation of Christ on the Mountain,Duccio,https://commons.wikimedia.org/wiki/File:Duccio_-_The_Temptation_on_the_Mount.jpg,tempera on wood,43.00x46.00cm,1384,1308.0,1931,Reproduction
ILLU_12208_3603_0,The boy with cherries,Édouard Manet,https://commons.wikimedia.org/wiki/File:Boy_with_Cherries_Edouard_Manet.jpg,oil on canvas,,1384,1858.0,1931,Reproduction
ILLU_12215_242503_0,Woman with a shirt sitting in a chair,Pablo Picasso,,,,1384,1913.0,1932,Reproduction
ILLU_12215_242503_2,Jeune Fille devant un miroir,Pablo Picasso,,oil on canvas,162.30x130.20cm,1384,1932.0,1932,Reproduction
ILLU_12216_242502_0,Musicians with masks,Pablo Picasso,,oil on canvas,203.20x188.00cm,1384,1921.0,1932,Reproduction
ILLU_12219_2802_0,Portrait of Hendrickje Stoffels in silk wrap,Rembrandt,https://commons.wikimedia.org/wiki/File:Rembrandt_-_Portrait_of_Hendrickje_Stoffels_-_Hendrickje_Stoffels_-_1659.jpg,oil on panel,72.50x51.50cm,1384,1659.0,1932,Reproduction
ILLU_12226_3803_0,Armor Chamber Fantasy,Adolph Menzel,"https://commons.wikimedia.org/wiki/File:Adolf_Menzel_-_%22Armor_Chamber_Fantasy%22,_1866_-_Google_Art_Project.jpg",,,1384,1866.0,1932,Reproduction
ILLU_12331_99_1,Riders on the beach,Paul Gauguin,,oil on canvas,66.00x76.00cm,1336,1902.0,1920,Reproduction
ILLU_12431_76_0,Portrait of Paulo as Pierrot,Pablo Picasso,,,,1351,1929.0,1931,Reproduction
ILLU_12431_78_0,Woman with mandolin,Pablo Picasso,,oil on canvas,130.00x97.00cm,1351,1925.0,1931,Reproduction
ILLU_12443_356_0,The Rooster,Marc Chagall,,oil on canvas,81.00x65.00cm,1351,1929.0,1931,Reproduction
ILLU_12443_359_0,Lovers under lilies,Marc Chagall,,oil on canvas,101.60x76.20cm,1351,1925.0,1931,Reproduction
ILLU_12656_467_1,The Bellelli Family,Edgar Degas,https://en.wikipedia.org/wiki/The_Bellelli_Family,oil on canvas,200.00x250.00cm,1336,1858.0,1928,Reproduction
ILLU_12656_467_2,L'Atelier de la rue de la Condamine,Édouard Manet,https://fr.wikipedia.org/wiki/L'Atelier_de_Bazille,oil on canvas,98.00x128.00cm,1336,1870.0,1928,Reproduction
ILLU_12659_48_3,"Still life with skull, candle and book",Paul Cézanne,,oil on canvas,,1336,1866.0,1927,Reproduction
ILLU_12659_51_0,Vase with Irises,Vincent van Gogh,,oil on canvas,92.10x73.70cm,1336,1890.0,1927,Reproduction
ILLU_12659_54_0,Cypresses,Vincent van Gogh,https://www.metmuseum.org/art/collection/search/437980,oil on canvas,93.40x74.00cm,1336,1889.0,1927,Reproduction
ILLU_12668_32_0,Portrait de l'artiste au fond rose,Paul Cézanne,https://commons.wikimedia.org/wiki/File:Autoportrait_%28Paul_C%C3%A9zanne%29_Mus%C3%A9e_dOrsay_%283344594921%29.jpg,oil on canvas,,1368,1875.0,1938,Reproduction
ILLU_12753_5002_2,Morning,Caspar David Friedrich,https://commons.wikimedia.org/wiki/File:CDFriedrich-Am_Morgen_ausfahrende_Boote.jpg,oil on canvas,22.00x30.50cm,1384,1816.0,1934,Reproduction
ILLU_13074_291_0,"L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)",Vincent van Gogh,https://www.metmuseum.org/art/collection/search/436529,oil on canvas,91.40x73.70cm,1351,1888.0,1912,Reproduction
ILLU_13084_314_0,Bathing Place,Paul Gauguin,,oil on canvas,60.00x73.00cm,1351,1886.0,1913,Reproduction
ILLU_13298_74_0,Domino Players,Henri Matisse,,,,1351,1921.0,1922,Reproduction
ILLU_13315_384_0,Young Smoking a Pipe,Eugène Zak,,,,1351,1925.0,1926,Reproduction
ILLU_13332_335_0,The Falconer (copy after Thomas Couture),Edward Harrison May,https://commons.wikimedia.org/wiki/File:Edward_Harrison_May_-_The_Falconer_%28copy_after_Thomas_Couture%29_-_24.220_-_Museum_of_Fine_Arts.jpg?uselang=fr,oil on canvas,130.80x98.40cm,1351,,1927,Reproduction
ILLU_13395_79_0,The Sorcerer of Hiva Oa (Marquesan Man in the Red Cape),Paul Gauguin,,oil on canvas,,1351,1902.0,1931,Reproduction
