ID,Volume_ID,_journal-id,liens iiif,liens de citation (page),liens de citation (volume),bibliographie
10245,2488,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0104.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0104,,"13.1902.12, Sp. 191"
10246,2489,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0104.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0104,,"13.1902.12, Sp. 192"
10247,2490,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0105.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0105,,"13.1902.13, Sp. 193-198"
10808,2491,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0111.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0111,,"13.1902.13, Sp. 205-206"
10248,2492,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0119.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0119,,"13.1902.14, Sp. 222"
10838,2493,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0129.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0129,,"13.1902.16, Sp. 240-243"
10249,2494,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0145.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0145,,"13.1902.18, Sp. 273-277"
10839,2495,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0150.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0150,,"13.1902.18, Sp. 284"
10250,2496,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0150.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0150,,13.1902.18. Sp. 283
10251,2497,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0153.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0153,,"13.1902.19, Sp. 289-296"
10252,2498,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0163.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0163,,"13.1902.20, Sp. 309-312"
10253,2499,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0188.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0188,,"13.1902.23, Sp. 360"
10254,2500,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0190.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0190,,"13.1902.23, Sp. 363-365"
10255,2501,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0193.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0193,,"13.1902.24, Sp. 369-371"
10256,2502,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0209.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0209,,"13.1902.26, Sp. 401-407"
10257,2503,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0214.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0214,,"13.1902.26, Sp. 411-413"
