ID,PW_bemerkung_extern,bibliographie,link_image,link_manifest,length
15687,,"XIV, oct. 1911-mars 1912, p. 25-30",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/f32/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/manifest.json,320
15689,,"XIV, oct. 1911-mars 1912, p. 72-79",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/f79/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/manifest.json,320
15691,,"XIV, oct. 1911-mars 1912, p. 99-112",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/f118/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/manifest.json,320
15693,,"XIV, oct. 1911-mars 1912, p. 169-173",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/f188/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/manifest.json,320
15696,,"XIV, oct. 1911-mars 1912, p. 241-256",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/f260/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100854r/manifest.json,320
15698,,"XVI, oct. 1912-mars 1913, p. 130-133",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6106552r/f149/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6106552r/manifest.json,354
15703,,"Tome XII, octobre 1910-mars 1911, p. 76-79",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5861471b/f86/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5861471b/manifest.json,311
15707,,"Tome II, oct. 1905-mars 1906, p. 85-90",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864957q/f116/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864957q/manifest.json,412
15715,,"Tome II, octobre 1905-mars 1906, p. 117-124",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864957q/f152/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864957q/manifest.json,412
15716,,"Tome IV, octobre 1906-mars 1907, p.  312",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58632948/f69/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58632948/manifest.json,412
15717,,"Tome IV ; Octobre 1906-mars 1907, p.  443-446",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58632948/f210/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58632948/manifest.json,412
15722,"Copie de l'article dans les annexes de DEA de M. Gispert, p. 80.",p. 93-96,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226163j/f107/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226163j/manifest.json,782
15726,,p. 299-304,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260369/f313/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260369/manifest.json,736
15733,"Cf. copie dans les annexes du DEA de M. Gispert, p. 20","n° 6, p. 7-9",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6149118c/f24/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6149118c/manifest.json,65
15734,,"n° 13, p. 50",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61020321/f44/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61020321/manifest.json,52
15739,"Cf. copie dans annexes DEA Gispert 2002, p. 44.","n° 23, p. 241-243",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6102051c/f37/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6102051c/manifest.json,54
15761,Cité d'après Gispert DEA 2002,"n° 4, p. 17-18",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61019990/f53/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k61019990/manifest.json,66
15795,,"t. 10, p. 115-123, 1908-1909",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6101709w/f130/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6101709w/manifest.json,322
15852,Reproduction du portrait de Tamare Karsaniva par Ernest Oppler (Photo Marc Vaux),"21e année, p. 2",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651865n/f1/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651865n/manifest.json,6
15855,,"21e année , p. 1",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651175m/f1/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651175m/manifest.json,6
15860,"Repro. "" Albert Dürer - "" La Grande Fortune ""","21e année, p. 1",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651219b/f1/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651219b/manifest.json,6
15861,"reproduction au sein de l'article d'un dessin : "" "" Dédié à Richard Wagner "" : Ecce Homo "" et de "" L'Hypocondre (le peintre Schmalhausen) ""","21e année, p. 3",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651233m/f1/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7651233m/manifest.json,6
15865,,"21e année, p. 3",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7649189v/f1/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k7649189v/manifest.json,6
15891,,"Vol. XIII, juillet-décembre, p. 52-56",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/f74/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/manifest.json,300
15892,,"Vol. XIII, juillet-décembre 1905, p. 81-120",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/f111/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/manifest.json,300
15893,,"Vol. XIII, juillet-décembre 1905, p. 148-160",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/f190/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/manifest.json,300
15894,,"Vol. XIII, juillet-déc.1905, p. 189-193",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/f235/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1204557d/manifest.json,300
15942,Cité d'après DEA Marie Gispert,"n° 25, p. 279",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6149868p/f48/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6149868p/manifest.json,57
15944,,"52e année, t. IV, p. 437-448",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203177k/f501/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203177k/manifest.json,615
15949,,"n° 1-2, p. 57-65 [Texte p. 57, 58, 60, 62, 64, 65]",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9796461x/f75/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9796461x/manifest.json,470
15979,,"n° 1 (?), p. 6",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952378/f402/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952378/manifest.json,556
15981,,"2e année, p. 6",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952378/f410/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952378/manifest.json,556
15984,,"n° 7-8, p. 3",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952378/f439/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k97952378/manifest.json,556
15989,,"n° 10, p. 451-452 (Texte : p. 451)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/f427/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795256m/manifest.json,577
15991,,p. 307-317,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203136t/f335/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203136t/manifest.json,585
15993,,p. 310-384,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203114c/f349/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203114c/manifest.json,650
16008,,"t. V, 1907, p. 200-203",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6101749d/f219/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6101749d/manifest.json,356
16009,,"Tome IX, p. 224-228",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864894n/f243/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5864894n/manifest.json,324
16013,,p. 358-364,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/f372/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/manifest.json,602
16014,,"n° 9, p. 368-371 [texte p. 369]",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/f383/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226096k/manifest.json,602
16025,,p. 29,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226205f/f53/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226205f/manifest.json,430
16029,,"n° 15, p. 1790-1794",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1073370q/f252/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1073370q/manifest.json,673
16031,,"n° 27, 1924-1925",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1073372j/f716/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1073372j/manifest.json,1137
16033,,p.498-506,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2030956/f557/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2030956/manifest.json,622
16288,"Illustrations : 
- Paul Klee, Le grand Dôme, 1927, dessin à la plume, 27 x 30 cm. Collection Mme Paul Klee, Berne.
- Paul Klee, Devant et derrière le pont, 1928, dessin à la plume, 38 x 47 cm. Collection Mme Paul Klee, Berne.
- Paul Klee, La sœur de l'artiste, 1903, peinture, 27 x 30 cm. Collection Mlle Mathilde Klee, Berne. 
- Paul Klee, Jeune fille sur un arbre, 1903, gravure sur zinc, 23 x 29 cm. Collection Mme Paul Klee, Berne. 
- Paul Klee, Tête menaçante,  1905, gravure, 18 x 13 cm. Collection Mme Paul Klee, Berne. 
- Paul Klee, La Niesen, Montagne près de Berne, 1915, aquarelle, 17,5 x 26 cm. Collection Mme Paul Klee, Berne.","20-21.1945-46, p. 10-19",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f22/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16289,"Illustrations : 
- Paul Klee, La fenêtre dans le jardin, 1918, gouache.
- Paul Klee, Flore dans un vieux jardin, 1919, gouache. Collection Mme Paul Klee, Berne.","20-21.1945-46, p. 20-22",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f32/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16290," Illustrations : 
- Paul Klee, La fête des Asters, 1921, peinture.
- Paul Klee, Lieu désemparé, 1922, aquarelle.
- Paul Klee, Sécheresse et fraicheur au jardin, 1921, aquarelle.
- Paul Klee, Vent de feu, 1922, peinture.
- Paul Klee, Liés aux étoiles, 1923, aquarelle.","20-21.1945-46, p. 28-32",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f40/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16291,"Illustrations : 
- Paul Klee, Monument funéraire tripartite, 1923, aquarelle.
- Paul Klee, Le mont du chat sacré, 1923, aquarelle.","20-21.1945-46, p. 36-37",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f48/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16292,"Illustrations : 
- Paul Klee, Jardin Romantique, 1927, aquarelle.
- Paul Klee, L'esprit du vin et du jeu, 1927.","20-21.1945-46, p. 36-37",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f48/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16293,"Illustrations : 
- Paul Klee, Repas varié, 1928.","20-21.1945-46, p. 52",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f64/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16294,,"20-21.1945-46, p. 53-55",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f65/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16295,"Illustrations : 
- Paul Klee, Repas varié, 1928.","20-21.1945-46, p. 56",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f68/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16296,"Illustrations :
- Paul Klee, Le fantôme d'une lettre, 1937, aquarelle.
- Paul Klee, Par dessus et à travers le paysage, 1937, pastel et gouache.","20-21.1945-46, p. 63-64",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f75/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16297,  Illustrations : 16 toiles de 1900-1910.,"20-21.1945-46, p. 114-127",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/f126/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4226263w/manifest.json,456
16299,"Illustrations : 
- 10 vues des salles d'expositions.","22.1947, p. 294-319",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260903/f314/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260903/manifest.json,368
16300,"Article publié dans la rubrique ""Exposition"".","22.1947, p. 321-322",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260903/f341/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k42260903/manifest.json,368
